County,Republican,Democrat,Nonpartisan,Libertarian,Year
Custer,5318,1605,1134,34,2014
Dakota,3597,4231,2521,60,2014
Dawes,3457,1309,1182,35,2014
Dawson,7574,3564,2412,54,2014
Deuel,1024,188,214,5,2014
Dixon,2222,978,526,11,2014
Dodge,10762,6450,4485,94,2014
Douglas,124126,122439,75978,1949,2014
Dundy,962,174,160,1,2014
Fillmore,2290,1134,647,10,2014
Franklin,1386,527,366,2,2014
Frontier,1268,344,245,4,2014
Furnas,2179,687,520,14,2014
Gage,6935,4257,2675,58,2014
Garden,1118,237,155,4,2014
Garfield,941,208,104,3,2014
Gosper,1016,270,191,2,2014
Grant,396,50,40,0,2014
Greeley,589,919,163,3,2014
Hall,16056,9385,6702,146,2014
Hamilton,4218,1281,901,31,2014
Harlan,1579,592,336,3,2014
Hayes,567,92,81,0,2014
Hitchcock,1264,396,353,4,2014
Holt,5060,1228,702,16,2014
Hooker,441,87,53,0,2014
Howard,2316,1431,623,11,2014
Jefferson,2677,1468,880,12,2014
Johnson,1514,871,375,11,2014
Kearney,2807,952,655,18,2014
Keith,4007,1172,1104,25,2014
Keya Paha,522,87,41,2,2014
Kimball,1952,542,543,11,2014
Knox,3148,1706,869,7,2014
Lancaster,76197,64990,40106,1050,2014
Lincoln,12854,6374,4138,119,2014
Logan,417,82,61,2,2014
Loup,423,63,30,1,2014
Madison,12339,4929,3677,77,2014
McPherson,280,53,23,4,2014
Merrick,3071,1083,670,13,2014
Morrill,2099,623,527,19,2014
Nance,1246,836,318,6,2014
Nemaha,2515,1358,802,14,2014
Nuckolls,1804,916,441,8,2014
Otoe,5251,2932,2220,48,2014
Pawnee,1087,526,271,4,2014
Perkins,1329,360,279,3,2014
Phelps,4154,1125,839,17,2014
Pierce,3197,812,729,5,2014
Platte,11571,4874,2922,59,2014
Polk,2227,765,445,5,2014
Red Willow,4437,1331,1373,25,2014
Richardson,3096,1968,944,18,2014
Rock,824,127,76,0,2014
Saline,3013,3441,1420,30,2014
Sarpy,47198,27549,25949,675,2014
Saunders,7816,4169,2378,43,2014
Scotts Bluff,12822,6298,4868,98,2014
Seward,5820,2904,1859,29,2014
Sheridan,2687,722,593,15,2014
Sherman,953,893,202,6,2014
Sioux,705,109,110,6,2014
Stanton,2408,769,528,13,2014
Thayer,2338,920,590,5,2014
Thomas,420,56,52,0,2014
Thurston,1231,2702,624,6,2014
Valley,1831,818,334,8,2014
Washington,7866,3290,2821,58,2014
Wayne,3258,1083,818,27,2014
